Names,scan1-1.png,scan1-2.png,scan1-3.png,scan1-4.png,scan1-5.png,scan1-6.png,scan1-7.png,scan1-8.png,scan1-9.png,scan1-10.png,scan1-11.png,scan1-12.png,scan1-13.png,scan1-14.png,scan1-15.png,scan1-16.png,scan1-17.png,scan1-18.png,scan1-19.png,scan1-20.png,scan1-21.png,scan1-22.png,scan1-23.png,scan1-24.png,scan1-25.png,scan1-26.png,scan1-27.png,scan1-28.png,scan1-29.png,scan1-30.png,scan1-31.png,scan1-32.png,scan1-33.png,scan1-34.png,scan1-35.png,scan1-36.png,scan1-37.png,scan1-38.png,scan1-39.png,scan1-40.png,scan1-41.png,scan1-42.png,scan1-43.png,scan1-44.png,scan1-45.png,scan1-46.png,scan1-47.png,scan1-48.png,scan1-49.png,scan1-50.png,scan1-51.png,scan1-52.png,scan1-53.png,scan1-54.png,scan1-55.png,scan1-56.png,scan1-57.png,scan1-58.png,scan1-59.png,scan1-60.png,scan1-61.png,scan1-62.png,scan1-63.png,scan1-64.png,scan1-65.png,scan1-66.png,scan1-67.png,scan1-68.png,scan1-69.png,scan1-70.png,scan1-71.png,scan1-72.png,scan1-73.png,scan1-74.png,scan1-75.png,scan1-76.png,scan1-77.png,scan1-78.png,scan1-79.png,scan1-80.png,scan1-81.png,scan1-82.png,scan1-83.png,scan1-84.png,scan1-85.png,scan1-86.png,scan1-87.png,scan1-88.png,scan1-89.png,scan1-90.png,scan1-91.png,scan1-92.png,scan1-93.png,scan1-94.png,scan1-95.png,scan1-96.png,scan1-97.png,scan1-98.png,scan1-99.png,scan1-100.png,scan1-101.png,scan1-102.png,scan1-103.png,scan1-104.png,scan1-105.png,scan1-106.png,scan1-107.png,scan1-108.png,scan1-109.png,scan1-110.png,scan1-111.png,scan1-112.png,scan1-113.png,scan1-114.png,scan1-115.png,scan1-116.png,scan1-117.png,scan1-118.png,scan1-119.png,scan1-120.png,scan1-121.png,scan1-122.png,scan1-123.png,scan1-124.png,scan1-125.png,scan1-126.png,scan1-127.png,scan1-128.png,scan1-129.png,scan1-130.png,scan1-131.png,scan1-132.png,scan1-133.png,scan1-134.png,scan1-135.png,scan1-136.png,scan1-137.png,scan1-138.png,scan1-139.png,scan1-140.png,scan1-141.png,scan1-142.png,scan1-143.png,scan1-144.png,scan1-145.png,scan1-146.png,scan1-147.png,scan1-148.png,scan1-149.png,scan1-150.png,scan1-151.png,scan1-152.png,scan1-153.png,scan1-154.png,scan1-155.png,scan1-156.png,scan1-157.png,scan1-158.png,scan1-159.png,scan1-160.png,scan1-161.png,scan1-162.png,scan1-163.png,scan1-164.png,scan1-165.png,scan1-166.png,scan1-167.png,scan1-168.png,scan1-169.png,scan1-170.png,scan1-171.png,scan1-172.png,scan1-173.png,scan1-174.png,scan1-175.png,scan1-176.png,scan1-177.png,scan1-178.png,scan1-179.png,scan1-180.png,scan1-181.png,scan1-182.png,scan1-183.png,scan1-184.png,scan1-185.png,scan1-186.png,scan1-187.png,scan1-188.png,scan1-189.png,scan1-190.png,scan1-191.png,scan1-192.png,scan1-193.png,scan1-194.png,scan1-195.png,scan1-196.png,scan1-197.png,scan1-198.png,scan1-199.png,scan1-200.png,scan1-201.png,scan1-202.png,scan1-203.png,scan1-204.png,scan1-205.png,scan1-206.png,scan1-207.png
scan1-1.png,0.0,5.26224,0.0884856,0.330685,0.125195,0.147179,0.356384,0.194008,1.10599,0.768349,0.399501,0.444186,0.671774,0.337929,0.163839,0.344282,0.420211,0.189786,0.395464,1.68738,0.0902389,0.205664,0.898659,0.185309,0.379202,0.379202,0.152465,0.268582,0.504811,0.170018,0.803531,0.369962,0.86414,6.78605,0.880433,0.861815,0.247545,2.40189,0.520987,0.292957,0.216939,5.00084,0.792198,2.98706,1.60402,1.25386,6.78605,6.23308,0.506445,0.940093,0.245147,0.351192,6.78605,0.834068,1.1438,0.345025,6.78605,0.935795,0.698499,6.84271,0.419112,6.78605,0.315984,4.10569,1.6818,4.12054,1.66612,2.18378,0.370497,0.776459,2.98706,0.358419,2.03066,2.84577,1.05041,0.276149,0.599639,2.58863,0.688003,27.0428,22.2103,4.20099,6.78605,6.78605,0.418709,0.805123,0.698513,1.68977,6.78605,1.1231,6.78605,5.2157,0.612693,1.66,3.01175,6.78605,2.98706,0.781415,6.78605,1.51138,2.1884,0.366442,6.78605,0.157951,0.576675,6.78605,0.146788,0.450672,1.24846,0.20139,0.361063,0.928226,1.0152,1.3929,2.98706,1.90587,0.384397,1.06768,6.78605,0.557523,0.631604,65.1119,0.254327,0.0812398,1.09208,1.41478,3.01175,0.876528,0.690668,1.30269,2.56484,2.74392,0.705228,0.461453,1.07215,3.35224,0.954502,1.56547,2.63546,6.78605,0.662447,0.588163,0.805139,2.54729,1.07628,0.992529,0.38593,0.509405,1.91578,5.3674,5.3674,5.3674,6.78605,6.78605,0.430907,0.407945,6.18827,0.73892,3.01175,2.85661,1.89078,3.01175,0.59139,1.07169,2.41511,0.687346,2.8345,0.54132,6.78605,0.729817,1.18777,0.824284,1.36921,0.920568,0.802057,6.78605,1.23547,0.931035,0.78417,6.78605,0.221323,0.893314,0.305039,2.23666,0.693298,1.53859,2.98706,2.98706,0.360894,6.78605,6.78605,6.78605,6.78605,0.349711,0.86773,0.230942,0.285129,3.58631,6.78605,0.896097,2.1897,2.97759,2.81656,0.488364,1.18062,6.39451,0.176776
scan1-2.png,5.26224,0.0,0.342526,1.62602,0.351848,1.56913,0.523138,0.333184,2.45818,2.14536,0.688401,1.67335,1.54549,1.73942,1.64716,0.759695,0.829519,0.326949,0.552093,2.2266,0.24083,0.411468,2.06243,1.58805,0.87353,0.87353,0.244102,0.399538,0.287654,0.255529,2.08927,0.298584,3.46243,3.94602,2.31342,4.04597,1.61893,8.62962,1.41685,0.247818,1.60374,2.19484,2.09063,0.506957,5.68196,5.20824,3.12319,4.78877,0.632983,2.45214,0.440722,1.69208,3.94602,2.45381,4.7928,1.70823,2.48414,1.18668,2.08477,10.9349,1.70404,3.94602,0.484124,0.96682,5.62303,8.26644,2.15325,1.49658,0.340091,3.76931,1.03311,0.267171,5.13829,5.75378,3.67186,0.398692,1.72537,3.31736,3.00658,10.0174,22.9319,1.95047,3.19756,3.94602,2.08982,3.38585,2.44556,4.38999,3.29179,2.9082,2.64083,10.5249,1.917,6.82504,1.79738,3.94602,2.48414,2.02651,1.50866,5.70015,6.27438,1.67791,3.94602,0.283479,0.82746,0.824033,0.151003,0.723025,2.43663,0.408302,1.68029,2.75982,3.54933,3.70956,3.93147,5.89477,3.17425,1.63698,1.29549,0.741208,2.06121,73.1096,0.25924,0.191258,3.54384,4.99907,3.31736,1.78413,3.55006,4.49463,3.89763,3.19327,2.10733,0.746064,1.74266,6.73499,2.61562,6.45364,6.5054,1.4661,0.682516,2.17817,3.79825,3.31736,2.56075,2.166,0.378283,0.848995,7.67246,0.228556,0.228556,1.09157,1.04122E-7,0.790506,1.7099,2.15487,3.37473,2.67182,3.31736,5.02144,5.28741,3.31736,3.14299,3.32575,5.74341,2.73431,7.35566,3.40688,0.877055,2.21167,2.78723,2.57289,4.28252,4.23059,3.15893,3.94602,3.38975,2.07745,0.955521,3.94602,0.360741,2.54028,1.58709,5.87495,1.61453,3.14175,3.93147,3.8133,0.420044,0.84475,0.821119,3.94602,1.56602,0.430255,2.87943,1.57469,0.196756,5.0867,1.93606,1.79617,2.40217,5.34624,6.43649,3.12644,2.22724,0.629949,0.316142
scan1-3.png,0.0884856,0.342526,0.0,0.73818,0.163778,0.458343,0.38477,0.177191,0.279395,0.468748,0.226843,0.803284,0.355873,0.299426,0.228921,0.0888934,0.221513,0.187552,0.422127,0.247367,0.161469,0.240698,0.448664,0.429525,0.205538,0.205538,0.1497,0.379477,0.958487,0.460944,0.340932,0.710604,0.471136,0.342526,0.350142,0.285947,0.37737,0.195049,0.382404,0.427507,0.561872,0.61105,0.403319,0.269082,0.176798,0.649926,0.342526,0.342526,0.318054,0.248586,0.27844,0.260987,0.342526,0.140443,0.657923,0.250973,0.342526,0.133958,0.0979804,0.503928,0.690603,0.342526,0.914763,0.072792,0.516892,0.0744391,2.32905,0.0433712,0.711273,0.172167,0.269082,0.670221,0.50929,0.465361,0.523177,0.523127,0.997391,0.0413162,0.604016,0.461803,0.331616,0.327014,0.342526,0.342526,2.31834,0.380415,0.433707,0.341639,0.342526,0.327525,0.342526,0.522462,0.197155,0.203617,0.0413162,0.342526,0.269082,0.388298,0.342526,0.16379,0.599777,0.520964,0.342526,0.386417,0.117502,0.342526,0.291301,0.316188,0.272681,0.236613,0.265138,0.398481,0.0295008,0.0920183,0.269082,0.667506,0.285221,0.15165,0.342526,0.0938694,0.131055,0.503943,0.367989,0.330107,0.177145,0.473882,0.0413162,0.443963,0.0797262,0.497289,0.487704,0.0413162,0.283624,1.10244,0.105445,0.414507,0.352758,0.342675,0.356807,0.342526,0.371836,0.204182,0.184072,0.0413162,0.183597,0.491424,0.515002,0.276603,0.105944,0.342526,0.342526,0.342526,0.342526,0.342526,0.747977,0.197725,0.342526,0.335592,0.0413162,0.315849,0.492339,0.0413162,0.247006,0.205385,0.324644,0.291111,0.418208,0.267546,0.342526,0.230554,0.0517038,0.35361,0.157029,0.0716967,0.0908236,0.342526,0.270311,0.456785,0.382994,0.342526,0.285669,0.19154,0.585803,0.088022,0.0958125,0.418681,0.269082,0.269082,0.789382,0.342526,0.342526,0.342526,0.342526,0.820352,0.0614931,0.393481,0.369092,0.342526,0.342526,1.36756,0.269082,0.304091,0.504428,0.25418,0.4949,0.342526,0.21728
scan1-4.png,0.330685,1.62602,0.424686,0.0,0.518909,0.335985,0.64605,0.505056,0.283148,0.237057,0.324004,0.421171,0.23408,0.223351,0.307541,0.694686,1.12321,0.500428,0.667541,0.308212,0.391053,0.563163,0.143278,0.178533,0.424205,0.424205,0.352805,1.78629,1.76991,0.447417,0.181165,0.479374,0.298467,2.21779,0.370432,0.348408,0.285525,0.176528,0.780159,0.211065,0.221961,0.526971,0.169963,0.340599,0.156586,0.487707,2.21779,2.21779,0.282176,0.466279,0.584876,0.197502,2.21779,0.441111,0.405409,0.130494,2.21779,0.391838,0.342571,0.314855,0.246761,2.21779,1.87161,0.864706,0.160271,0.21019,1.62363,0.692365,0.510183,0.329675,0.340599,0.422879,0.147057,0.178866,0.373801,1.79008,0.574147,0.340599,0.600648,0.497691,1.02634,0.629777,2.21779,2.21779,1.61519,0.296366,0.475567,0.427109,2.21779,0.206443,2.21779,0.365492,0.354362,0.204244,0.450719,2.21779,0.340599,0.295331,2.21779,0.0673035,0.413326,0.198674,2.21779,0.468162,0.457936,2.21779,0.258947,0.202241,0.177177,0.560812,0.242246,0.611074,0.354421,0.147089,0.340599,0.422066,0.150528,0.481749,2.21779,0.304914,0.380595,0.370525,0.377306,0.399711,0.208648,0.205947,0.450719,0.341739,0.157261,0.146709,0.280988,0.213674,0.596639,1.80573,0.898324,0.161847,0.630799,0.599818,0.341453,2.21779,1.3845,0.521569,0.303028,0.275035,0.123572,0.145433,0.538531,1.21897,0.105772,1.54261,1.54261,1.54261,2.21779,2.21779,0.377584,0.243228,2.14954,0.166841,0.450719,0.431621,0.256057,0.450719,0.121137,0.178101,0.131583,0.57892,0.295344,0.525735,2.21779,0.407832,0.170652,0.935235,0.228993,0.255395,0.0440255,2.21779,0.143496,0.0856968,0.46784,2.21779,0.45961,0.272937,0.559334,0.0987006,0.571641,0.150567,0.340599,0.340599,0.410215,2.21779,2.21779,2.21779,2.21779,0.406614,0.20258,0.525805,1.80311,0.821142,2.21779,0.865881,0.122429,0.402688,0.371182,0.117227,0.359093,2.02038,0.492406
scan1-5.png,0.125195,0.351848,0.195855,1.07861,0.0,0.380229,0.264275,0.133397,0.397414,0.2282,0.206128,0.756229,0.461367,0.414164,0.306027,0.184703,0.0534839,0.142893,0.308948,0.370631,0.265763,0.118444,0.538961,0.709504,0.314828,0.314828,0.345267,0.295752,0.907382,0.422822,0.448873,0.665968,0.557752,0.351848,0.456575,0.293015,0.485115,0.140958,0.365857,0.680203,0.867772,0.585918,0.501042,0.351848,0.244832,0.693841,0.351848,0.351848,0.429742,0.232527,0.137119,0.253748,0.351848,0.222163,0.713948,0.273053,0.351848,0.20808,0.150961,0.585173,0.587995,0.351848,1.28978,0.141284,0.596014,0.226026,2.24218,0.185819,0.666619,0.291757,0.351848,0.626638,0.545848,0.552923,0.60127,0.471868,0.945271,0.160877,0.593406,0.549948,0.417072,0.308983,0.351848,0.351848,2.23175,0.481889,0.415367,0.449464,0.351848,0.437662,0.351848,0.600672,0.175644,0.308468,0.160877,0.351848,0.351848,0.488481,0.351848,0.194972,0.663352,0.761222,0.351848,0.35024,0.262036,0.351848,0.54036,0.428181,0.24706,0.0870999,0.280978,0.496997,0.139109,0.191414,0.351848,0.721961,0.279611,0.264181,0.351848,0.154677,0.165604,0.585186,0.602898,0.2954,0.18771,0.485116,0.160877,0.535029,0.211879,0.579622,0.571607,0.160877,0.400951,1.04758,0.123997,0.510398,0.363216,0.45033,0.462148,0.351848,0.147159,0.291338,0.157273,0.160877,0.236371,0.529041,0.358969,0.154118,0.210936,0.351848,0.351848,0.351848,0.351848,0.351848,1.0227,0.161618,0.351848,0.444408,0.160877,0.427898,0.575483,0.160877,0.37033,0.163111,0.435253,0.33043,0.513492,0.23089,0.351848,0.256551,0.207014,0.336291,0.1471,0.156093,0.133636,0.351848,0.25076,0.515284,0.366463,0.351848,0.153256,0.169879,0.502213,0.18789,0.243898,0.513888,0.351848,0.351848,1.13944,0.351848,0.351848,0.351848,0.351848,1.17688,0.133719,0.335015,0.541485,0.351848,0.351848,1.30578,0.351848,0.418066,0.549473,0.376329,0.476364,0.351848,0.09191
scan1-6.png,0.147179,1.56913,0.31429,0.505989,0.275483,0.0,0.466955,0.25462,0.438173,0.403224,0.317086,0.295732,0.256562,0.2079,0.138662,0.3492,0.427888,0.24765,0.499321,0.131327,0.205493,0.349595,0.36366,0.25104,0.223715,0.223715,0.293806,1.92679,1.90748,0.167816,0.456281,0.237211,0.389597,2.03318,0.38696,0.104389,0.142507,0.365876,0.461369,0.217336,0.353233,0.432778,0.448843,0.16378,0.209432,0.577431,2.03318,1.14134,0.219737,0.0615656,0.374828,0.0979048,2.03318,0.256214,0.605183,0.143289,2.03318,0.325633,0.278926,0.427444,0.237045,2.03318,2.02735,0.489482,0.442407,0.214064,1.39205,0.433578,0.262341,0.101168,0.16378,0.20012,0.433633,0.382931,0.506799,1.93125,0.435205,0.16378,0.639708,0.666459,1.02395,0.711377,2.03318,2.03318,1.38436,0.284888,0.20759,0.409087,2.03318,0.223844,2.03318,0.448836,0.291858,0.265732,0.318889,2.03318,0.16378,0.422444,2.03318,0.155768,0.535349,0.276036,2.03318,0.199058,0.524193,2.03318,0.122856,0.219902,0.12332,0.338588,0.0716806,0.741747,0.291922,0.247127,0.16378,0.616243,0.0842546,0.237185,2.03318,0.202826,0.32063,0.427461,0.324456,0.164905,0.329539,0.289342,0.318889,0.374641,0.142219,0.419782,0.408719,0.318889,0.666983,1.94971,0.335738,0.400799,0.682287,0.584436,0.407687,2.03318,0.583343,0.402531,0.28975,0.154636,0.221833,0.413013,0.305032,0.473428,0.270164,1.46814,1.46814,1.46814,2.03318,2.03318,0.465482,0.159137,1.97527,0.233155,0.318889,0.31962,0.414069,0.318889,0.26228,0.301025,0.220519,0.642827,0.419478,0.145311,2.03318,0.0805138,0.295682,0.285026,0.212325,0.230917,0.328365,2.03318,0.187202,0.373033,0.141306,2.03318,0.301367,0.39617,0.336362,0.344381,0.32746,0.435963,0.16378,0.16378,0.550061,2.03318,2.03318,2.03318,2.03318,0.577184,0.166436,0.285867,1.94662,0.835135,2.03318,0.701189,0.16378,0.292951,0.378169,0.258144,0.33314,1.98633,0.298283
scan1-7.png,0.356384,0.523138,0.62541,1.82525,0.359203,0.876013,0.0,0.398342,0.556663,0.256816,0.300279,0.715836,0.603714,0.568986,0.489427,0.400165,0.29055,0.411418,0.123079,0.536958,0.72043,0.28038,0.660802,1.32356,0.495902,0.495902,0.828491,0.573822,1.25311,0.561188,0.594522,0.470902,0.674627,0.523138,0.600188,0.479853,1.01857,0.26477,0.369912,1.28374,1.53868,0.536121,0.632904,0.523138,0.48024,0.774751,0.523138,0.200094,0.580447,0.434137,0.172831,0.450964,0.523138,0.427726,0.789544,0.465167,0.523138,0.417364,0.353325,0.694802,1.12809,0.523138,2.11227,0.34622,0.702778,0.430568,1.64661,0.400987,0.383858,0.478928,0.523138,0.630514,0.648101,0.671074,0.626299,0.2771,0.587936,0.174701,0.676825,0.668885,0.571125,0.327642,0.523138,0.523138,1.802,0.618813,0.477722,0.594957,0.523138,0.584126,0.523138,0.706205,0.363314,0.491223,0.174701,0.523138,0.523138,0.623663,0.523138,0.463878,0.75232,1.39386,0.523138,0.502577,0.457061,0.523138,1.09366,0.579299,0.401219,0.240817,0.470997,0.629928,0.366621,0.405103,0.523138,0.79544,0.469992,0.207434,0.523138,0.378075,0.304142,0.694811,1.17866,0.695969,0.402378,0.621187,0.174701,0.657909,0.405453,0.690717,0.671917,0.174701,0.559264,1.45039,0.296809,0.639788,0.531502,0.595594,0.604289,0.523138,0.203153,0.47862,0.362219,0.174701,0.438179,0.571393,0.342977,0.232549,0.419466,0.523138,0.523138,0.523138,0.523138,0.523138,1.74926,0.365372,0.523138,0.591237,0.174701,0.57909,0.687672,0.174701,0.536736,0.35396,0.584501,0.507381,0.642064,0.377612,0.523138,0.41246,0.16492,0.315023,0.10515,0.219065,0.372096,0.523138,0.433312,0.54048,0.437733,0.523138,0.526739,0.133036,0.329651,0.40251,0.443717,0.642355,0.523138,0.523138,1.90793,0.523138,0.523138,0.523138,0.523138,1.95882,0.229296,0.339722,1.09519,0.523138,0.523138,0.882225,0.523138,0.571856,0.668536,0.54115,0.35853,0.523138,0.434081
scan1-8.png,0.194008,0.333184,0.162383,1.02043,0.117697,0.341597,0.284868,0.0,0.380062,0.263566,0.100227,0.549527,0.445856,0.397295,0.286044,0.161226,0.194016,0.0361855,0.32829,0.352508,0.230335,0.2222,0.525685,0.661656,0.295099,0.295099,0.307613,0.215232,0.682889,0.25536,0.433003,0.469888,0.545018,0.333184,0.440927,0.272657,0.443547,0.159755,0.281264,0.633175,0.815494,0.542132,0.486675,0.333184,0.369516,0.685025,0.333184,0.333184,0.413321,0.20873,0.161271,0.23226,0.333184,0.199764,0.705711,0.25212,0.333184,0.185276,0.252095,0.573228,0.521868,0.333184,1.22569,0.245521,0.584381,0.203739,1.86059,0.162374,0.470463,0.271363,0.333184,0.435188,0.507924,0.540049,0.589789,0.298633,0.716318,0.123362,0.54809,0.536988,0.400286,0.216803,0.333184,0.333184,1.85138,0.46697,0.337378,0.433611,0.333184,0.421469,0.333184,0.589174,0.109695,0.288555,0.123362,0.333184,0.333184,0.473752,0.333184,0.354378,0.653658,0.711926,0.333184,0.191321,0.274547,0.333184,0.497246,0.411716,0.225378,0.112652,0.260273,0.482512,0.164436,0.270852,0.333184,0.713955,0.258867,0.242072,0.333184,0.273007,0.127936,0.573241,0.558033,0.212843,0.16432,0.47029,0.123362,0.52164,0.168619,0.567517,0.559271,0.123362,0.39395,0.851612,0.0876735,0.4963,0.344879,0.434502,0.44666,0.333184,0.187563,0.270932,0.260323,0.123362,0.214382,0.466216,0.404352,0.140353,0.188214,0.333184,0.333184,0.333184,0.333184,0.333184,0.966087,0.136003,0.333184,0.428409,0.123362,0.411424,0.563259,0.123362,0.352198,0.252682,0.41899,0.311149,0.499483,0.149562,0.333184,0.226567,0.208469,0.247754,0.12254,0.164766,0.269462,0.333184,0.207576,0.450625,0.281951,0.333184,0.191769,0.196119,0.347107,0.164504,0.222126,0.49989,0.333184,0.333184,1.07956,0.333184,0.333184,0.333184,0.333184,1.11595,0.0970816,0.185523,0.498339,0.333184,0.333184,1.0344,0.333184,0.401309,0.5365,0.35837,0.406513,0.333184,0.13069
scan1-9.png,1.10599,2.45818,0.279395,0.283148,0.397414,0.438173,0.556663,0.380062,0.0,1.19121,0.523645,0.823574,0.715212,0.513946,0.766349,0.613042,0.911805,0.374266,0.583582,1.22158,0.296947,0.452843,0.625607,0.304141,0.825261,0.825261,0.290936,0.317157,1.14492,0.532457,0.255782,0.729851,1.04223,2.85225,1.68497,1.92604,0.395479,0.618961,1.39978,0.361028,0.239717,6.52435,0.506141,1.11458,0.673328,3.90014,2.85225,2.85225,0.410363,0.690077,0.48004,0.650124,2.85225,1.7493,1.50572,0.915772,2.85225,0.770877,1.29547,11.877,0.362681,2.85225,0.4069,2.01819,1.42603,8.12893,2.36651,3.39453,0.730527,1.02545,1.11458,0.689013,3.77796,1.89944,2.03445,0.655165,1.01986,0.878487,3.97882,73.933,38.5498,1.52579,2.85225,2.85225,2.35567,0.970597,1.35832,2.02602,2.85225,1.76842,2.85225,9.63386,1.37834,0.567466,0.878487,2.85225,1.11458,0.306023,2.85225,0.910326,5.42364,0.538077,2.85225,0.518391,0.303336,2.85225,0.372992,0.5029,0.72478,0.449899,0.685876,1.71028,1.02432,0.355275,1.11458,1.7118,0.945477,0.486213,2.85225,0.602472,1.43447,113.548,0.242438,0.45672,1.20417,1.84956,0.878487,1.98002,1.14373,1.535,2.9269,0.551408,0.274292,1.30257,2.31269,0.518558,3.44525,1.04548,0.900909,2.85225,1.01271,2.10487,0.9685,0.673808,0.854513,1.79032,0.421991,1.39576,0.758285,2.34393,2.34393,2.34393,2.85225,2.85225,0.767644,1.09188,2.68668,2.64071,0.878487,3.1251,3.68658,0.878487,0.652294,1.19134,0.804908,2.75735,1.14182,0.762829,2.85225,1.40887,0.570044,2.58289,0.537792,0.745073,1.34323,2.85225,0.579263,1.65935,0.789132,2.85225,0.323139,1.09619,0.62715,0.749286,1.89192,0.484272,1.11458,1.11458,0.809515,2.85225,2.85225,2.85225,2.85225,0.804894,0.488735,0.501269,0.39627,1.67094,2.85225,1.3942,0.454766,3.93321,5.6513,0.5468,2.14963,2.85225,0.364218
scan1-10.png,0.768349,2.14536,0.468748,0.237057,0.2282,0.403224,0.256816,0.263566,1.19121,0.0,0.716092,0.454178,0.826253,0.616268,0.689609,0.790149,0.235626,0.275381,0.151666,1.05649,0.452716,0.115224,0.478828,0.373267,2.40387,2.40387,0.418341,0.422133,1.03595,0.459739,0.726035,0.532094,0.581877,2.48845,1.09225,0.831295,0.357874,0.466564,2.59601,0.273523,0.300152,4.62195,0.655464,0.963921,0.709875,3.4032,2.48845,2.27935,0.617751,0.87588,0.22524,0.671118,2.48845,0.634142,1.1276,0.577411,2.48845,0.781058,0.620795,11.5755,0.323035,2.48845,1.8123,1.34439,0.961312,0.6868,1.00168,1.22014,0.559783,0.682036,0.963921,0.481319,0.959351,0.991548,1.19188,0.510057,0.511012,0.493029,3.42873,1.07466,37.4158,0.955506,2.48845,2.48845,0.995239,0.46871,2.38286,0.938469,2.48845,0.847101,2.48845,0.97693,0.674493,0.664057,0.561159,2.48845,0.963921,0.725148,2.48845,0.606378,4.86543,0.238493,2.48845,0.385274,0.927682,2.48845,0.333988,0.563212,0.684195,0.23973,0.694223,2.75255,0.583135,0.713528,0.963921,1.36504,0.548294,0.974937,2.48845,0.725711,0.5303,108.882,0.392155,0.460498,0.619223,0.82717,0.561159,2.9741,0.533117,0.903355,1.70967,0.47553,1.02949,1.21421,1.26933,0.797829,1.11312,1.10725,0.803063,2.48845,1.49377,1.04079,0.50127,0.420078,0.628324,1.52385,0.579779,1.90981,0.652181,2.02592,2.02592,2.02592,2.48845,2.48845,0.125436,0.777503,2.43149,1.14177,0.561159,1.00079,0.838981,0.561159,0.729324,0.277009,0.720342,1.03787,0.883958,1.02436,2.48845,0.798025,0.621891,2.40892,0.359241,0.375498,0.607981,2.48845,0.64984,1.40542,0.876036,2.48845,0.379588,0.884259,0.54119,0.693224,1.1331,0.9244,0.963921,0.963921,0.0845479,2.48845,2.48845,2.48845,2.48845,0.0923467,0.605241,0.369654,0.893251,1.28905,2.48845,0.423561,0.679083,1.05097,0.885036,0.652705,1.14969,2.48845,0.29586
