Names,scan1-1.png,scan1-2.png,scan1-3.png,scan1-4.png,scan1-5.png,scan1-6.png,scan1-7.png,scan1-8.png,scan1-9.png,scan1-10.png,scan1-11.png,scan1-12.png,scan1-13.png,scan1-14.png,scan1-15.png,scan1-16.png,scan1-17.png,scan1-18.png,scan1-19.png,scan1-20.png,scan1-21.png,scan1-22.png,scan1-23.png,scan1-24.png,scan1-25.png,scan1-26.png,scan1-27.png,scan1-28.png,scan1-29.png,scan1-30.png,scan1-31.png,scan1-32.png,scan1-33.png,scan1-34.png,scan1-35.png,scan1-36.png,scan1-37.png,scan1-38.png,scan1-39.png,scan1-40.png,scan1-41.png,scan1-42.png,scan1-43.png,scan1-44.png,scan1-45.png,scan1-46.png,scan1-47.png,scan1-48.png,scan1-49.png,scan1-50.png,scan1-51.png,scan1-52.png,scan1-53.png,scan1-54.png,scan1-55.png,scan1-56.png,scan1-57.png,scan1-58.png,scan1-59.png,scan1-60.png,scan1-61.png,scan1-62.png,scan1-63.png,scan1-64.png,scan1-65.png,scan1-66.png,scan1-67.png,scan1-68.png,scan1-69.png,scan1-70.png,scan1-71.png,scan1-72.png,scan1-73.png,scan1-74.png,scan1-75.png,scan1-76.png,scan1-77.png,scan1-78.png,scan1-79.png,scan1-80.png,scan1-81.png,scan1-82.png,scan1-83.png,scan1-84.png,scan1-85.png,scan1-86.png,scan1-87.png,scan1-88.png,scan1-89.png,scan1-90.png,scan1-91.png,scan1-92.png,scan1-93.png,scan1-94.png,scan1-95.png,scan1-96.png,scan1-97.png,scan1-98.png,scan1-99.png,scan1-100.png,scan1-101.png,scan1-102.png,scan1-103.png,scan1-104.png,scan1-105.png,scan1-106.png,scan1-107.png,scan1-108.png,scan1-109.png,scan1-110.png,scan1-111.png,scan1-112.png,scan1-113.png,scan1-114.png,scan1-115.png,scan1-116.png,scan1-117.png,scan1-118.png,scan1-119.png,scan1-120.png,scan1-121.png,scan1-122.png,scan1-123.png,scan1-124.png,scan1-125.png,scan1-126.png,scan1-127.png,scan1-128.png,scan1-129.png,scan1-130.png,scan1-131.png,scan1-132.png,scan1-133.png,scan1-134.png,scan1-135.png,scan1-136.png,scan1-137.png,scan1-138.png,scan1-139.png,scan1-140.png,scan1-141.png,scan1-142.png,scan1-143.png,scan1-144.png,scan1-145.png,scan1-146.png,scan1-147.png,scan1-148.png,scan1-149.png,scan1-150.png,scan1-151.png,scan1-152.png,scan1-153.png,scan1-154.png,scan1-155.png,scan1-156.png,scan1-157.png,scan1-158.png,scan1-159.png,scan1-160.png,scan1-161.png,scan1-162.png,scan1-163.png,scan1-164.png,scan1-165.png,scan1-166.png,scan1-167.png,scan1-168.png,scan1-169.png,scan1-170.png,scan1-171.png,scan1-172.png,scan1-173.png,scan1-174.png,scan1-175.png,scan1-176.png,scan1-177.png,scan1-178.png,scan1-179.png,scan1-180.png,scan1-181.png,scan1-182.png,scan1-183.png,scan1-184.png,scan1-185.png,scan1-186.png,scan1-187.png,scan1-188.png,scan1-189.png,scan1-190.png,scan1-191.png,scan1-192.png,scan1-193.png,scan1-194.png,scan1-195.png,scan1-196.png,scan1-197.png,scan1-198.png,scan1-199.png,scan1-200.png,scan1-201.png,scan1-202.png,scan1-203.png,scan1-204.png,scan1-205.png,scan1-206.png,scan1-207.png
scan1-1.png,0.0,0.697062,0.152959,0.372741,0.193902,0.180462,0.406933,0.17069,0.50997,0.839944,0.311926,0.503971,0.853253,0.397347,0.204272,0.414779,0.544288,0.162935,0.442944,1.10833,0.118098,0.268051,0.832406,0.205706,0.661423,0.661423,0.10826,0.238303,0.633413,0.218453,0.469218,0.346622,0.745102,0.507537,1.36857,0.902187,0.0976818,3.30871,0.609859,0.147089,0.159879,0.102242,0.469499,0.832668,0.899745,0.622543,0.234036,4.42406,0.226467,1.05985,0.361369,0.218661,0.982225,0.875424,1.26463,0.190352,1.41583,0.62282,0.632344,2.50831,0.26297,1.49534,0.279149,0.905548,0.888115,1.58433,1.07675,1.82979,0.278695,0.722743,0.444951,0.215105,1.28573,1.77345,0.490487,0.277016,0.493861,0.122164,0.818408,0.727166,2.06584,0.689319,2.17767,0.77552,0.436012,0.563394,1.03594,1.70015,0.55337,0.883324,1.4348,0.902134,0.335934,0.561041,0.582808,0.181528,0.22014,0.343884,0.135073,0.996121,1.1288,0.200614,5.53407,0.151396,0.294058,0.942945,0.0741454,0.315014,1.18123,0.264113,0.265096,0.851507,1.2083,1.71009,0.110397,1.36331,0.468114,0.914993,1.29094,0.491402,0.700192,2.41169,0.212877,0.109333,0.349429,1.07291,1.03868,1.1553,0.833437,1.05066,1.689,0.761172,0.498796,0.490138,1.9568,1.86193,0.957728,1.68561,2.29049,0.641334,0.681044,0.536023,0.670052,0.43267,1.25099,1.35462,0.403273,0.916688,1.07751,0.53828,0.905637,0.285001,1.87953,2.00386,0.387271,0.548703,0.480876,0.727392,1.03918,2.73824,2.78758,1.20705,0.558456,1.9136,2.56449,0.653948,2.57404,0.549539,0.753552,0.716904,1.03472,1.58889,1.30893,1.17016,0.885251,0.761108,1.34159,1.22373,0.587304,1.30003,0.246963,0.752459,0.287833,1.16322,1.72954,1.21927,0.280149,0.827915,0.550595,0.515247,0.515247,0.264606,2.43512,0.588429,1.5545,0.231173,0.232571,1.42305,0.363212,0.79718,1.01696,3.69239,3.7995,0.448413,1.30384,1.3862,0.16792
scan1-2.png,0.697062,0.0,0.404698,0.243374,0.19993,0.164188,0.411369,0.176892,1.1154,0.732051,0.448193,0.227761,1.32861,0.370741,0.247585,0.497735,0.555174,0.169195,0.44711,1.48216,0.125031,0.273525,0.748767,0.221626,1.23065,1.23065,0.222288,0.251018,0.606146,0.198113,0.831372,0.324143,0.746822,0.700501,2.49968,1.48231,0.144807,0.893608,1.56355,0.19717,0.17881,0.176357,0.753035,0.752894,0.80221,1.9885,0.167602,9.41597,0.468254,0.729137,0.366145,0.265358,2.2252,0.731079,2.89151,0.196407,0.581663,0.956718,0.501603,5.66201,0.194979,1.48234,0.663151,0.766858,2.34451,3.85582,0.538288,0.885084,0.258437,1.09241,0.16402,0.220975,2.15574,2.60561,1.00412,0.282422,0.328543,0.234415,1.66395,1.31059,4.27888,1.71092,4.42177,0.91222,0.593516,0.694565,1.40478,2.34967,0.635643,0.978257,1.51449,2.56527,0.196162,1.0675,2.07715,0.211957,0.213388,0.671846,0.16578,0.768845,2.88197,0.13598,11.7048,0.204534,0.601267,1.3807,0.119226,0.495668,0.754601,0.269616,0.34285,1.60879,0.705253,0.758083,0.155343,2.61738,0.372608,0.839466,0.575459,0.495551,0.415098,5.38104,0.255999,0.112738,0.39645,1.05928,0.854894,1.36573,0.708537,2.76137,1.26597,0.676141,0.753686,0.381,1.31976,0.747167,2.38793,1.01898,0.658457,0.636538,0.654991,0.965222,1.08362,0.373707,0.457255,1.21672,0.41005,0.909833,1.53059,0.403293,1.06513,0.201761,1.04629,0.999856,0.202685,0.663159,0.443989,1.08899,0.454078,4.37533,4.76747,1.73502,0.389567,0.759225,0.632784,1.92566,0.63195,0.467601,0.747917,0.718631,0.986432,1.52898,0.829711,1.0355,1.16733,0.67318,0.477975,1.07263,0.756329,1.29031,0.259533,1.01799,0.257041,0.889713,2.11494,1.0448,0.211233,0.756591,0.538999,0.694567,0.694567,0.192461,0.738941,0.57655,0.764959,0.23547,0.236872,0.832488,0.524754,0.331203,0.785697,4.95944,7.20938,0.335069,0.901975,0.921198,0.259318
scan1-3.png,0.152959,0.404698,0.0,0.431593,0.205543,0.300543,0.415498,0.182666,0.583586,0.819719,0.322998,0.48388,1.34551,0.303561,0.348417,0.447668,0.565309,0.175023,0.450989,1.54962,0.123736,0.278621,0.779153,0.250848,0.657747,0.657747,0.0815647,0.248479,0.611593,0.202176,0.727185,0.328633,0.799403,0.64,0.416031,0.369157,0.146579,0.477238,1.0003,0.0838135,0.097081,0.100358,0.656664,0.783326,0.268019,2.47824,0.232762,0.850814,0.316279,0.337443,0.370591,0.272719,2.29916,0.416341,1.08713,0.202044,0.256163,0.306832,0.623897,5.74671,0.323144,1.04766,0.257208,0.442225,0.73925,3.99808,1.04901,0.515725,0.261613,0.301665,0.425648,0.226439,2.64829,0.62132,1.58516,0.287456,0.473905,0.0958855,2.31595,1.60633,4.38703,0.359436,4.03946,0.288951,1.12257,0.561865,1.2452,0.45989,0.2583,0.409292,0.634031,2.60569,0.318087,0.498324,2.12222,0.0794627,0.126118,0.57135,0.158359,0.325228,3.43633,0.221377,0.636873,0.16365,0.51243,0.636195,0.111465,0.328683,0.350178,0.27474,0.279023,1.36641,0.460158,0.569977,0.128432,1.02374,0.592686,0.2814,0.275619,0.406675,0.73185,5.44876,0.101568,0.11446,0.404711,0.768206,0.982045,1.12836,0.408242,0.818443,1.89425,0.727004,0.59584,0.619681,0.592761,0.481266,0.343429,0.532371,0.422479,0.576887,0.279124,1.40594,0.26245,0.411322,0.336842,1.40369,0.419878,0.709781,1.92655,0.547194,0.384419,0.246055,0.442581,0.447526,0.436382,0.321552,0.321894,1.88359,0.210307,0.333928,0.798061,1.12831,0.697925,0.685028,0.470134,0.350025,0.533765,0.414669,0.629414,0.347805,0.369913,1.58184,0.32553,0.274208,0.533053,0.781058,0.383712,1.28024,0.977393,1.10678,0.257023,0.465246,0.326386,0.299195,0.409337,0.648734,0.189635,0.824778,0.428373,0.294119,0.294119,0.183235,0.337515,0.432212,0.305612,0.242699,0.113568,0.355505,0.147311,0.773172,0.321746,0.311437,0.78856,0.578719,1.2579,0.25332,0.179936
scan1-4.png,0.372741,0.243374,0.431593,0.0,0.518909,0.335985,0.64605,0.505056,0.283148,0.237057,0.324004,0.421171,0.23408,0.223351,0.307541,0.694686,1.12321,0.500428,0.667541,0.308212,0.391053,0.563163,0.143278,0.178533,0.424205,0.424205,0.352805,1.78629,1.76991,0.447417,0.181165,0.502335,0.162513,0.180129,0.517268,0.210631,0.342684,0.125816,0.87092,0.261955,0.233664,0.274258,0.176509,0.160334,0.20904,0.292047,0.189106,0.497751,0.264655,0.466279,0.618856,0.300288,0.196769,0.352407,0.348432,0.516791,0.217065,0.391838,0.447129,0.211167,0.320138,2.1652,1.79275,0.0684701,0.100125,0.431159,0.96242,0.0947411,0.531582,0.329675,0.3654,0.531564,0.550193,0.246329,0.477361,0.568513,0.474774,0.359204,0.494334,0.180858,0.771721,0.273689,0.724543,0.469132,1.03287,0.153576,0.475567,0.427109,0.317616,0.245833,0.476932,0.605897,0.262385,0.268767,0.412245,0.264597,0.265933,0.377887,0.329068,0.24436,0.291603,0.244287,0.187743,0.493541,0.457936,0.144523,0.326997,0.192068,0.177177,0.560812,0.290236,0.443242,0.300432,0.147089,0.226802,0.359964,0.150528,0.481749,0.239809,0.372286,0.329798,0.264734,0.372425,0.399711,0.27275,0.205947,0.778624,0.420178,0.157261,0.146709,0.393327,0.238498,0.596639,0.45345,0.898324,0.0859487,0.630799,0.39493,0.235969,1.36102,0.469763,0.521569,0.22945,0.246799,0.123572,0.145433,0.538531,1.27239,0.451306,0.388403,0.286832,0.129602,0.278773,0.247992,0.288963,0.351283,0.289302,0.166841,0.338007,0.431621,0.256057,0.614753,0.141431,0.178101,0.131583,0.57892,0.131866,0.525735,1.43985,0.502264,0.170652,0.935235,0.145373,0.21022,0.184434,0.142998,0.143496,0.0856968,0.46784,1.43085,0.496156,0.272937,0.553251,0.229605,0.571641,0.150567,0.169013,0.0926321,1.81256,0.2147,0.2147,0.173484,0.0987853,1.81991,0.241749,0.525805,1.76524,0.41797,0.358741,0.698238,0.295332,0.402688,0.371182,0.155527,0.359093,0.396327,0.503403
scan1-5.png,0.193902,0.19993,0.205543,1.07861,0.0,0.380229,0.264275,0.133397,0.397414,0.2282,0.206128,0.756229,0.461367,0.414164,0.306027,0.184703,0.0534839,0.142893,0.308948,0.370631,0.265763,0.118444,0.538961,0.709504,0.314828,0.314828,0.345267,0.295752,0.907382,0.422822,0.448873,0.572488,0.499864,0.158124,0.443673,0.225746,0.366304,0.149421,0.320188,0.534108,0.752507,0.508535,0.436968,0.539285,0.314751,0.585213,0.685532,0.564004,0.397445,0.232527,0.20775,0.17462,0.495315,0.16497,0.686537,0.149799,0.279291,0.20808,0.165987,0.532073,0.413168,2.10266,1.07876,0.158826,0.567079,0.311483,1.42508,0.155206,0.493168,0.291757,0.747229,0.38087,0.544145,0.526583,0.569398,0.362143,0.744423,0.374527,0.506202,0.493223,0.374241,0.249624,0.580655,0.293214,1.51215,0.410185,0.415367,0.449464,0.254392,0.407266,0.267847,0.227418,0.560007,0.389608,0.55188,0.764495,0.833038,0.424718,0.394606,0.302995,0.57425,0.570833,0.531924,0.25161,0.262036,0.478306,0.39891,0.394768,0.24706,0.0870999,0.228571,0.418361,0.140073,0.191414,0.677743,0.66477,0.279611,0.264181,0.301025,0.16428,0.168743,0.494231,0.539401,0.2954,0.166238,0.485116,2.08032,0.486431,0.211879,0.579622,0.535539,0.40417,0.400951,0.796119,0.123997,0.455045,0.363216,0.348515,0.388236,0.153976,0.257459,0.291338,0.16644,0.180119,0.236371,0.529041,0.358969,0.161782,0.550358,1.1058,0.36395,0.898706,0.216494,0.218454,0.887456,0.147557,0.102562,0.444408,0.249455,0.427898,0.575483,0.235858,0.340632,0.163111,0.435253,0.33043,0.45547,0.23089,0.173787,0.210421,0.207014,0.336291,0.124377,0.153823,0.178122,0.491013,0.25076,0.515284,0.366463,0.16946,0.120657,0.169879,0.410037,0.166949,0.243898,0.513888,0.932403,0.453983,0.923581,0.161284,0.161284,0.910743,0.163913,0.970516,0.142967,0.335015,0.483016,0.198701,0.252748,1.09862,0.376828,0.418066,0.549473,0.348643,0.476364,0.132382,0.0786939
scan1-6.png,0.180462,0.164188,0.300543,0.505989,0.275483,0.0,0.466955,0.25462,0.438173,0.403224,0.317086,0.295732,0.256562,0.2079,0.138662,0.3492,0.427888,0.24765,0.499321,0.131327,0.205493,0.349595,0.36366,0.25104,0.223715,0.223715,0.293806,1.92679,1.90748,0.167816,0.456281,0.26788,0.309698,0.349521,0.398567,0.1925,0.127019,0.312997,0.445653,0.18721,0.269722,0.166526,0.404965,0.364108,0.206381,0.427499,0.221197,0.666499,0.290411,0.0615656,0.426001,0.187333,0.303419,0.289714,0.567348,0.272292,0.19874,0.325633,0.15078,0.354154,0.169853,2.37341,1.9344,0.136834,0.402469,0.116795,0.789207,0.34775,0.326631,0.101168,0.265897,0.29454,0.382136,0.346576,0.467628,0.350185,0.287021,0.304818,0.566599,0.300531,0.792465,0.197348,0.817092,0.107074,0.853443,0.275487,0.20759,0.409087,0.168291,0.216535,0.557338,0.170581,0.150961,0.166894,0.381492,0.278407,0.328068,0.377307,0.133998,0.185313,0.412367,0.138096,0.353948,0.277685,0.524193,0.342785,0.175094,0.305377,0.12332,0.338588,0.161643,0.630304,0.232707,0.247127,0.215554,0.575006,0.0842546,0.237185,0.220826,0.264403,0.264916,0.301923,0.319161,0.164905,0.249294,0.289342,1.23175,0.481565,0.142219,0.419782,0.528215,0.177619,0.666983,0.330776,0.335738,0.342172,0.682287,0.444594,0.324756,0.567755,0.0746594,0.402531,0.380439,0.270813,0.221833,0.413013,0.305032,0.508904,0.487954,0.525686,0.409758,0.375645,0.2924,0.304576,0.367494,0.216004,0.132302,0.233155,0.117269,0.31962,0.414069,0.142887,0.242072,0.301025,0.220519,0.642827,0.248424,0.145311,0.620095,0.13577,0.295682,0.285026,0.305626,0.418961,0.271205,0.297481,0.187202,0.373033,0.141306,0.614123,0.351228,0.39617,0.327201,0.288554,0.32746,0.435963,0.400059,0.345637,1.95775,0.174185,0.174185,0.384366,0.287059,1.96642,0.211484,0.285867,1.90198,0.214176,0.225508,0.548343,0.165814,0.292951,0.378169,0.232713,0.33314,0.257728,0.327431
scan1-7.png,0.406933,0.411369,0.415498,1.82525,0.359203,0.876013,0.0,0.398342,0.556663,0.256816,0.300279,0.715836,0.603714,0.568986,0.489427,0.400165,0.29055,0.411418,0.123079,0.536958,0.72043,0.28038,0.660802,1.32356,0.495902,0.495902,0.828491,0.573822,1.25311,0.561188,0.594522,0.40603,0.632038,0.345691,0.590696,0.430362,0.857086,0.240003,0.337787,1.08516,1.38201,1.05041,0.585763,0.661041,0.502261,0.694831,1.29098,0.679227,0.556685,0.434137,0.177659,0.392747,0.62869,0.385647,0.769377,0.365189,0.198426,0.417364,0.42837,0.655735,0.920783,3.21715,1.82545,0.419598,0.681489,0.493441,0.996937,0.239421,0.323401,0.478928,1.37484,0.323452,0.441564,0.651696,0.607012,0.219061,0.483896,0.868262,0.623533,0.613271,0.539614,0.44793,0.691478,0.160249,1.52879,0.566058,0.477722,0.594957,0.451438,0.552627,0.461337,0.431592,1.08991,0.550919,0.670307,1.39831,1.49147,0.576751,0.895553,0.489369,0.686765,1.13508,0.655625,0.430876,0.457061,0.616176,0.901404,0.554716,0.401219,0.240817,0.43244,0.572074,0.340555,0.405103,1.28039,0.753363,0.469992,0.207434,0.217665,0.426279,0.292434,0.627893,1.09236,0.695969,0.38658,0.621187,3.18679,0.622155,0.405453,0.690717,0.600691,0.561633,0.559264,1.19786,0.296809,0.599063,0.531502,0.520686,0.54991,0.174604,0.453694,0.47862,0.406569,0.396793,0.438179,0.571393,0.342977,0.272951,0.634309,1.86221,0.532042,1.58073,0.423555,0.424997,1.56544,0.351814,0.338418,0.591237,0.374146,0.57909,0.687672,0.428458,0.514887,0.35396,0.584501,0.507381,0.599376,0.377612,0.206889,0.380239,0.16492,0.315023,0.10579,0.282247,0.443236,0.47097,0.433312,0.54048,0.437733,0.235714,0.423488,0.133036,0.26218,0.387103,0.443717,0.642355,1.62653,0.598282,1.61454,0.374106,0.374106,1.59709,0.38487,1.67833,0.216555,0.339722,1.01572,0.379964,0.450228,0.750734,0.378568,0.571856,0.668536,0.52078,0.35853,0.31716,0.403013
scan1-8.png,0.17069,0.176892,0.182666,1.02043,0.117697,0.341597,0.284868,0.0,0.380062,0.263566,0.100227,0.549527,0.445856,0.397295,0.286044,0.161226,0.194016,0.0361855,0.32829,0.352508,0.230335,0.2222,0.525685,0.661656,0.295099,0.295099,0.307613,0.215232,0.682889,0.25536,0.433003,0.387411,0.485463,0.0893486,0.427653,0.203451,0.328062,0.186016,0.229503,0.491169,0.703456,0.466312,0.420755,0.526019,0.30399,0.573269,0.638355,0.55145,0.380094,0.20873,0.229925,0.150853,0.480782,0.140925,0.67751,0.0974284,0.183151,0.185276,0.289873,0.518599,0.373614,2.01582,1.02057,0.21257,0.554612,0.291657,1.13966,0.22618,0.317426,0.271363,0.698324,0.218346,0.483335,0.512951,0.554824,0.201823,0.53911,0.336055,0.47357,0.47863,0.356222,0.228016,0.56858,0.272862,1.21648,0.393201,0.337378,0.433611,0.232922,0.374419,0.302264,0.205171,0.494566,0.372032,0.538976,0.715107,0.781732,0.408153,0.355572,0.285964,0.56199,0.526866,0.518446,0.105172,0.274547,0.463283,0.359756,0.37734,0.225378,0.112652,0.206357,0.401613,0.181233,0.270852,0.630784,0.655116,0.258867,0.242072,0.257626,0.319592,0.130974,0.479668,0.496313,0.212843,0.146352,0.47029,1.99411,0.471643,0.168619,0.567517,0.522165,0.387013,0.39395,0.584721,0.0876735,0.439353,0.344879,0.329755,0.370619,0.168573,0.236077,0.270932,0.301356,0.183538,0.214382,0.466216,0.404352,0.177733,0.490377,1.04686,0.345635,0.845562,0.240253,0.226368,0.834627,0.0936146,0.14098,0.428409,0.227843,0.411424,0.563259,0.200788,0.321645,0.252682,0.41899,0.311149,0.43979,0.149562,0.207587,0.148892,0.208469,0.247754,0.122198,0.189413,0.33528,0.476357,0.207576,0.450625,0.281951,0.203135,0.224153,0.196119,0.263449,0.142961,0.222126,0.49989,0.878316,0.438261,0.869741,0.124786,0.124786,0.857262,0.139837,0.915362,0.0969841,0.185523,0.441507,0.132977,0.23123,0.851617,0.299909,0.401309,0.5365,0.329887,0.406513,0.0967067,0.166799
scan1-9.png,0.50997,1.33233,0.583586,0.283148,0.397414,0.438173,0.556663,0.380062,0.0,1.19121,0.523645,0.823574,0.715212,0.513946,0.766349,0.613042,0.911805,0.374266,0.583582,1.22158,0.296947,0.452843,0.625607,0.304141,0.825261,0.825261,0.290936,0.317157,1.14492,0.532457,0.255782,0.632787,0.688749,0.893891,1.75857,1.22752,0.330587,0.526383,1.07937,0.351551,0.22027,0.270371,0.29284,0.698332,0.491192,1.65843,0.419472,7.15722,0.484929,0.690077,0.522601,0.553637,1.36368,1.46607,1.00912,0.39476,0.281331,0.770877,1.04164,3.52335,0.416657,1.5535,0.308959,1.18402,1.09508,2.83811,1.51808,0.718535,0.603669,1.02545,0.752011,0.552835,2.15884,1.41173,1.77504,0.531776,0.811315,0.326163,2.81486,2.02278,5.06065,1.20072,2.91188,1.15204,1.60848,0.805968,1.35832,2.02602,1.18351,1.37067,0.703128,1.70578,0.619827,0.584042,1.0043,0.219974,0.248575,0.186664,0.319951,0.538136,2.28741,0.382258,8.95015,0.443489,0.303336,1.03674,0.309056,0.472758,0.72478,0.449899,0.526403,0.872551,1.04783,0.355275,0.317069,0.82258,0.945477,0.486213,0.447926,0.553042,1.288,3.40774,0.218174,0.45672,0.666425,1.84956,1.28224,1.52073,1.14373,1.535,2.30912,1.13187,0.274292,0.864993,2.31269,0.450973,3.44525,0.845625,0.648986,1.0611,1.19539,2.10487,0.777386,0.494548,0.854513,1.79032,0.421991,1.24015,2.8395,0.781527,0.272992,0.418043,0.63185,0.63331,0.653931,0.989326,1.02759,2.64071,0.624038,3.1251,3.68658,1.60662,0.494277,1.19134,0.804908,2.75735,0.924195,0.762829,1.11556,1.27835,0.570044,2.58289,0.491735,0.673846,0.770333,0.905582,0.579263,1.65935,0.789132,1.71208,0.368915,1.09619,0.585634,0.670956,1.89192,0.484272,0.365715,1.21254,0.781228,0.480569,0.480569,0.347343,0.883542,0.786016,0.446248,0.501269,0.302491,1.02982,0.822054,1.17909,0.62893,3.93321,5.6513,0.415857,2.14963,0.803123,0.377992
scan1-10.png,0.839944,0.732051,0.773896,0.237057,0.2282,0.403224,0.256816,0.263566,1.19121,0.0,0.716092,0.454178,0.826253,0.616268,0.689609,0.790149,0.235626,0.275381,0.151666,1.05649,0.452716,0.115224,0.478828,0.373267,2.40387,2.40387,0.418341,0.422133,1.03595,0.459739,0.726035,0.55273,0.523417,0.636555,1.17752,0.692774,0.409245,0.517841,2.54005,0.336691,0.330052,0.347748,0.761732,0.395607,0.771181,1.40815,0.271219,1.18784,0.672144,0.87588,0.106222,0.771375,1.35279,0.629863,1.0198,0.234516,0.640167,0.781058,0.633707,3.97189,0.388983,2.39639,1.55313,0.47902,1.01173,2.78707,0.497215,0.442723,0.53191,0.682036,0.244543,0.416699,1.50558,1.01352,1.05542,0.397486,0.52796,0.40569,2.53006,0.98288,4.03705,0.805101,4.19157,0.913041,0.550968,0.404991,2.38286,0.938469,0.696578,0.911262,0.908176,1.97691,0.33518,0.91474,1.34324,0.330215,0.314512,0.826427,0.397008,0.737145,2.08271,0.320812,1.13022,0.292964,0.927682,0.735344,0.395147,0.636163,0.684195,0.23973,0.775395,1.72585,0.602697,0.713528,0.274587,1.44304,0.548294,0.974937,0.621166,0.737216,0.559031,3.82335,0.387391,0.460498,0.80326,0.82717,0.413002,2.51143,0.533117,0.903355,1.3465,1.77334,1.02949,0.300842,1.26933,0.754357,1.11312,0.855373,0.668705,1.13974,0.89958,1.04079,0.593903,0.74325,0.628324,1.52385,0.579779,1.64362,2.12147,0.220592,0.802182,0.179048,0.818972,0.876531,0.183913,0.899349,0.575699,1.14177,0.892999,1.00079,0.838981,2.86155,0.675445,0.277009,0.720342,1.03787,0.770502,1.02436,1.24085,0.927248,0.621891,2.40892,0.396929,0.279667,0.661621,0.400346,0.64984,1.40542,0.876036,2.08123,0.286288,0.884259,0.446622,0.79601,1.1331,0.9244,0.188829,1.49754,1.36254,0.836061,0.836061,0.198888,0.606024,1.42019,0.673928,0.369654,0.82144,0.666221,0.783521,0.443076,0.82903,1.05097,0.885036,0.630155,1.14969,0.58492,0.267787
