Column1,foundSelf,scan1-1.png,scan1-2.png,scan1-3.png,scan1-4.png,scan1-5.png,scan1-6.png,scan1-7.png,scan1-8.png,scan1-9.png,scan1-10.png,scan1-11.png,scan1-12.png,scan1-13.png,scan1-14.png,scan1-15.png,scan1-16.png,scan1-17.png,scan1-18.png,scan1-19.png,scan1-20.png,scan1-21.png,scan1-22.png,scan1-23.png,scan1-24.png,scan1-25.png,scan1-26.png,scan1-27.png,scan1-28.png,scan1-29.png,scan1-30.png,scan1-31.png,scan1-32.png,scan1-33.png,scan1-34.png,scan1-35.png,scan1-36.png,scan1-37.png,scan1-38.png,scan1-39.png,scan1-40.png,scan1-41.png,scan1-42.png,scan1-43.png,scan1-44.png,scan1-45.png,scan1-46.png,scan1-47.png,scan1-48.png,scan1-49.png,scan1-50.png,scan1-51.png,scan1-52.png,scan1-53.png,scan1-54.png,scan1-55.png,scan1-56.png,scan1-57.png,scan1-58.png,scan1-59.png,scan1-60.png,scan1-61.png,scan1-62.png,scan1-63.png,scan1-64.png,scan1-65.png,scan1-66.png,scan1-67.png,scan1-68.png,scan1-69.png,scan1-70.png,scan1-71.png,scan1-72.png,scan1-73.png,scan1-74.png,scan1-75.png,scan1-76.png,scan1-77.png,scan1-78.png,scan1-79.png,scan1-80.png,scan1-81.png,scan1-82.png,scan1-83.png,scan1-84.png,scan1-85.png,scan1-86.png,scan1-87.png,scan1-88.png,scan1-89.png,scan1-90.png,scan1-91.png,scan1-92.png,scan1-93.png,scan1-94.png,scan1-95.png,scan1-96.png,scan1-97.png,scan1-98.png,scan1-99.png,scan1-100.png,scan1-101.png,scan1-102.png,scan1-103.png,scan1-104.png,scan1-105.png,scan1-106.png,scan1-107.png,scan1-108.png,scan1-109.png,scan1-110.png,scan1-111.png,scan1-112.png,scan1-113.png,scan1-114.png,scan1-115.png,scan1-116.png,scan1-117.png,scan1-118.png,scan1-119.png,scan1-120.png,scan1-121.png,scan1-122.png,scan1-123.png,scan1-124.png,scan1-125.png,scan1-126.png,scan1-127.png,scan1-128.png,scan1-129.png,scan1-130.png,scan1-131.png,scan1-132.png,scan1-133.png,scan1-134.png,scan1-135.png,scan1-136.png,scan1-137.png,scan1-138.png,scan1-139.png,scan1-140.png,scan1-141.png,scan1-142.png,scan1-143.png,scan1-144.png,scan1-145.png,scan1-146.png,scan1-147.png,scan1-148.png,scan1-149.png,scan1-150.png,scan1-151.png,scan1-152.png,scan1-153.png,scan1-154.png,scan1-155.png,scan1-156.png,scan1-157.png,scan1-158.png,scan1-159.png,scan1-160.png,scan1-161.png,scan1-162.png,scan1-163.png,scan1-164.png,scan1-165.png,scan1-166.png,scan1-167.png,scan1-168.png,scan1-169.png,scan1-170.png,scan1-171.png,scan1-172.png,scan1-173.png,scan1-174.png,scan1-175.png,scan1-176.png,scan1-177.png,scan1-178.png,scan1-179.png,scan1-180.png,scan1-181.png,scan1-182.png,scan1-183.png,scan1-184.png,scan1-185.png,scan1-186.png,scan1-187.png,scan1-188.png,scan1-189.png,scan1-190.png,scan1-191.png,scan1-192.png,scan1-193.png,scan1-194.png,scan1-195.png,scan1-196.png,scan1-197.png,scan1-198.png,scan1-199.png,scan1-200.png,scan1-201.png,scan1-202.png,scan1-203.png,scan1-204.png,scan1-205.png,scan1-206.png,scan1-207.png,Total Found Contours
scan1-1.png,1,10,7,13,7,7,20,19,12,16,7,9,6,14,6,10,18,10,7,2,3,25,9,5,10,7,7,8,2,44,4,6,2,2,1,6,5,2,4,4,2,2,4,3,7,8,3,3,4,4,8,2,4,9,4,6,4,8,6,4,3,2,2,2,7,2,4,2,6,2,6,6,2,4,4,0,2,0,13,4,4,2,7,7,7,3,2,4,4,11,6,6,0,4,6,10,2,8,4,7,8,1,2,6,2,4,2,2,5,9,2,4,2,6,8,7,2,4,8,10,4,2,3,2,2,3,4,2,2,6,2,2,5,4,2,9,7,6,6,5,9,4,2,6,12,9,0,3,4,6,7,9,6,9,11,2,6,3,2,13,2,2,5,4,8,6,6,4,6,3,7,6,2,8,8,6,3,10,4,3,0,2,5,2,9,6,8,9,12,2,5,5,5,7,2,10,2,2,4,3,0,10,2,2,4,0,7,2,1153
scan1-2.png,1,6,50,11,5,6,19,17,11,15,6,8,4,12,6,8,16,8,6,2,2,24,8,4,10,5,5,8,2,43,4,5,2,0,59,2,5,2,2,2,2,2,3,1,95,3,1,41,18,4,8,2,4,74,4,0,4,113,6,2,2,0,118,2,20,0,4,2,5,2,4,51,2,0,3,0,2,0,85,0,2,2,150,38,86,1,2,1,2,104,3,86,0,2,2,97,131,125,2,33,4,1,1,112,2,4,37,2,5,9,2,4,2,4,6,51,0,4,8,96,4,2,3,2,2,2,0,87,2,4,0,0,119,2,0,6,5,5,2,3,18,4,2,4,129,7,0,2,2,6,84,63,47,44,46,0,6,100,2,159,2,0,83,4,4,6,4,2,6,29,7,6,2,6,6,2,107,8,2,2,96,2,4,2,6,4,6,110,40,1,49,46,114,43,0,10,2,2,9,64,0,127,2,0,4,0,72,2,4402
scan1-3.png,1,6,7,15,8,7,20,20,12,16,7,9,8,13,8,12,18,10,7,2,3,25,11,6,11,7,7,8,2,44,4,7,2,4,1,6,8,2,6,4,2,2,4,4,7,8,1,3,4,4,8,2,4,9,6,5,4,8,6,4,4,2,2,2,7,4,4,2,6,2,6,6,2,4,6,2,2,2,13,0,4,2,7,7,7,3,4,5,4,11,5,6,2,4,8,10,2,8,4,7,8,1,2,6,2,4,2,2,5,9,2,4,2,8,10,7,4,4,8,10,4,4,4,2,2,7,6,2,2,6,6,2,5,4,2,9,7,5,4,5,9,4,2,6,12,9,4,5,4,8,7,9,6,9,11,2,6,3,2,13,3,4,5,4,6,6,4,6,6,3,7,8,2,10,8,6,3,8,4,5,0,2,6,2,9,6,8,9,12,2,5,5,5,7,2,10,2,2,5,3,2,10,2,4,4,4,7,2,1220
scan1-4.png,1,6,7,15,8,7,20,19,11,16,7,9,8,14,9,11,18,10,7,2,5,25,11,6,11,7,7,8,2,44,4,6,2,3,1,2,8,2,6,2,2,2,5,4,7,8,3,3,4,4,8,2,4,9,6,3,4,8,6,4,4,2,2,2,7,4,4,2,5,2,6,6,2,2,4,4,2,2,13,0,2,2,7,7,7,1,4,5,6,11,6,6,2,4,6,10,2,8,4,7,8,3,2,6,2,4,2,2,5,9,2,4,2,6,9,7,0,4,8,10,4,4,4,2,2,7,6,2,2,6,4,2,5,4,0,7,7,5,2,5,9,4,4,5,12,7,4,5,4,8,7,9,6,9,11,2,6,3,2,13,2,4,5,4,6,6,4,6,6,3,7,8,2,10,8,4,3,8,4,5,0,2,6,2,9,4,8,9,12,2,5,5,5,7,2,10,2,2,5,3,0,10,2,4,4,4,7,2,1187
scan1-5.png,1,6,7,14,7,8,19,18,11,16,7,9,8,12,8,10,17,10,7,2,2,25,11,5,10,6,6,8,2,44,4,6,2,2,1,2,5,2,6,2,2,2,4,4,7,6,1,3,4,4,8,2,4,9,4,0,4,8,6,4,4,2,2,2,7,4,4,2,5,2,4,6,2,2,4,2,2,2,13,0,2,2,7,7,7,1,2,4,2,11,4,6,0,4,4,10,2,8,4,7,6,1,2,6,2,4,2,2,5,9,2,4,2,6,10,7,0,4,8,10,4,4,4,2,2,7,6,2,2,6,4,2,5,4,0,7,7,5,2,5,9,4,2,4,12,9,4,5,4,6,7,9,6,9,11,2,6,3,2,13,2,4,5,4,6,6,4,4,6,3,7,8,2,10,6,4,3,8,4,5,0,2,5,2,9,4,8,9,12,2,5,5,5,7,2,10,2,2,5,3,0,10,2,4,4,4,7,2,1130
scan1-6.png,1,8,7,15,8,7,23,21,13,16,7,10,8,14,9,12,18,10,7,2,4,25,12,5,11,7,7,8,2,44,4,6,2,4,1,4,9,2,8,4,2,2,4,4,7,8,1,3,4,4,8,2,4,9,6,5,4,8,6,4,4,2,2,2,7,6,4,2,6,2,6,6,2,4,8,2,2,2,13,0,4,2,7,7,7,1,4,5,6,11,6,6,4,4,8,10,2,8,4,7,8,3,2,6,2,4,2,2,5,9,2,4,4,8,10,7,6,4,8,10,4,4,4,2,2,7,6,2,2,6,6,2,5,4,0,7,9,5,4,7,9,4,2,6,12,9,4,5,4,10,7,9,6,9,11,2,6,3,2,13,4,4,5,4,6,6,4,6,6,3,7,8,2,10,8,6,3,9,4,5,0,2,7,2,9,4,8,9,12,2,5,5,5,7,2,10,2,2,5,3,2,10,3,4,4,4,7,2,1248
scan1-7.png,1,8,7,15,8,7,21,23,12,16,7,9,8,14,8,12,18,10,7,2,3,25,11,7,10,7,7,8,2,44,4,6,2,4,1,6,9,2,8,2,2,2,4,4,7,8,3,3,4,4,8,2,4,9,6,6,4,8,6,4,4,2,2,2,7,5,4,2,6,2,6,6,2,2,6,2,2,2,13,0,4,2,7,7,7,2,4,6,4,11,6,6,2,4,8,10,2,8,4,7,8,3,2,6,2,4,2,2,5,9,2,4,2,6,10,7,6,4,8,10,4,4,4,2,2,7,6,2,2,6,4,2,5,4,2,9,7,5,2,7,9,4,4,6,12,9,4,5,4,10,7,9,6,9,11,2,6,3,4,13,5,4,5,4,8,6,4,6,6,3,7,8,2,10,8,4,3,10,4,5,0,2,7,2,9,6,8,9,12,2,5,5,5,7,2,10,2,2,5,3,1,10,3,4,4,4,7,2,1241
scan1-8.png,1,7,7,14,7,7,21,20,15,16,7,9,8,13,8,12,18,10,7,2,2,25,12,5,10,7,7,8,2,44,4,6,2,4,1,4,8,2,8,4,2,2,4,4,7,8,1,3,4,4,8,2,4,9,4,5,4,8,6,4,4,2,2,2,7,4,4,2,6,2,6,6,2,2,6,2,2,2,13,0,3,2,7,7,7,1,4,5,3,11,6,6,2,4,8,10,2,8,4,7,8,3,2,6,2,4,2,2,5,9,2,4,2,8,8,7,6,4,8,10,4,4,4,2,2,7,6,2,2,6,4,2,5,4,0,7,7,5,4,7,9,4,2,6,12,7,4,5,4,8,7,9,6,9,11,2,6,3,2,13,2,4,5,4,6,6,4,6,6,3,7,8,2,10,8,6,3,8,4,5,0,2,6,2,9,4,8,9,12,2,5,5,5,7,2,10,2,2,5,3,0,10,4,4,4,4,7,2,1206
scan1-9.png,1,6,7,14,7,7,19,18,11,16,7,9,8,12,8,11,17,10,7,2,2,25,11,5,10,6,6,8,2,44,4,6,2,2,1,4,5,2,6,2,2,2,4,4,7,6,1,3,4,4,8,2,4,9,4,0,4,8,6,4,4,2,2,2,7,4,4,2,6,2,4,6,2,4,4,2,2,2,13,0,2,2,7,7,7,1,4,5,2,11,4,6,0,4,5,10,2,8,4,7,6,1,2,6,2,4,2,2,5,9,2,4,2,6,10,7,0,4,8,10,4,4,4,2,2,7,6,2,2,6,4,2,5,4,0,9,7,5,2,5,9,4,2,4,12,9,4,5,4,8,7,9,6,9,11,2,6,3,2,13,2,4,5,4,6,6,4,4,6,3,7,8,2,10,6,4,3,8,4,5,0,2,5,2,9,6,8,9,12,2,5,5,5,7,2,10,2,2,5,3,0,10,2,4,4,4,7,2,1145
scan1-10.png,1,6,7,14,7,7,19,18,11,16,8,9,8,12,8,11,17,10,7,2,2,25,11,5,10,6,6,8,2,44,4,6,2,4,1,2,5,2,6,2,2,2,4,4,7,6,1,3,4,4,8,2,4,9,6,0,4,8,6,4,4,2,2,2,7,4,4,2,5,2,4,6,2,2,4,2,2,2,13,0,2,2,7,7,7,1,4,5,2,11,4,6,2,4,6,10,2,8,4,7,6,1,2,6,2,4,2,2,5,9,2,4,2,6,10,7,0,4,8,10,4,4,4,2,2,7,6,2,2,6,4,2,5,4,0,7,7,5,2,5,9,4,2,4,12,7,4,5,4,8,7,9,6,9,11,2,6,3,2,13,2,4,5,4,6,6,4,4,6,3,7,8,2,10,6,4,3,8,4,5,0,2,5,2,9,4,8,9,12,2,5,5,5,7,2,10,2,2,5,3,0,10,2,4,4,4,7,2,1142
